config,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
NO_EVOLUTION,solvable,1,-1.0,-1.0,-1.0,1.0,0.0,1.0,False
NO_EVOLUTION,confusion_index,1,181.9329268292683,181.9329268292683,181.9329268292683,1.0,0.0,1.0,False
NO_EVOLUTION,path_optimal,1,-1.0,-1.0,-1.0,1.0,0.0,1.0,False
NO_EVOLUTION,tile_prior_kl,1,-1.3954107819879153,-1.3954107819879153,-1.3954107819879153,1.0,0.0,1.0,False
NO_EVOLUTION,graph_edit_distance,1,-0.07,-0.07,-0.07,1.0,0.0,1.0,False
NO_EVOLUTION,generation_time_sec,1,282.44206500053406,282.44206500053406,282.44206500053406,1.0,0.0,1.0,False
NO_EVOLUTION,novelty,1,0.03337413472854839,0.03337413472854839,0.03337413472854839,1.0,0.0,1.0,False
NO_EVOLUTION,reconstruction_error,1,0.03409090909090917,0.03409090909090917,0.03409090909090917,1.0,0.0,1.0,False
NO_EVOLUTION,constraint_valid,1,1.0,1.0,1.0,1.0,0.0,1.0,False
NO_EVOLUTION,room_repair_rate,1,0.125,0.125,0.125,1.0,0.0,1.0,False
NO_EVOLUTION,tiles_repaired,1,147.0,147.0,147.0,1.0,0.0,1.0,False
