metric,n_pairs,delta_mean_treatment_minus_control,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
overall_completeness,4,0.0,0.0,0.0,1.0,0.0,1.0,False
constraint_valid,4,0.0,0.0,0.0,1.0,0.0,1.0,False
path_exists,4,0.0,0.0,0.0,1.0,0.0,1.0,False
linearity,4,0.0,0.0,0.0,1.0,0.0,1.0,False
leniency,4,0.0,0.0,0.0,1.0,0.0,1.0,False
progression_complexity,4,0.0,0.0,0.0,1.0,0.0,1.0,False
topology_complexity,4,0.0,0.0,0.0,1.0,0.0,1.0,False
cycle_density,4,0.0,0.0,0.0,1.0,0.0,1.0,False
shortcut_density,4,0.0,0.0,0.0,1.0,0.0,1.0,False
gate_depth_ratio,4,0.0,0.0,0.0,1.0,0.0,1.0,False
path_depth_ratio,4,0.0,0.0,0.0,1.0,0.0,1.0,False
directionality_gap,4,0.0,0.0,0.0,1.0,0.0,1.0,False
repair_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
total_repairs,4,0.0,0.0,0.0,1.0,0.0,1.0,False
generation_constraint_rejections,4,0.0,0.0,0.0,1.0,0.0,1.0,False
generation_time_sec,4,1.213743507862091,-0.09803032875061035,2.368061661720276,0.24793801549612596,0.9135379532030565,1.0,False
descriptor_gap,4,0.0,0.0,0.0,1.0,0.0,1.0,False
